# 案ごとの詳細集計。横並びの比較は variant_comparison.csv を見る。
variant,variant_label,section,metric,value,note
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 最大含み益の中央値,+4.29%,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 吐き出し幅の中央値,9.58pt,最大含み益 − 最終リターン
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 保有日数の中央値,8 日,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE1 初期STOPのみ（前回と同じ）: +5%以上まで上昇後に損失,12/32 (38%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE1 初期STOPのみ（前回と同じ）: +10%以上から利益の過半を失った,6/32 (19%),「大半＝過半」を数式にしただけの集計定義。売買閾値ではない
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: 仮想EXIT件数,32/32 (100%),残りは追跡終端で保有継続
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: 仮想リターン中央値,-2.85%,仮想ENTRY価格（翌日始値）基準。約定価格は保証されない
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: 最大含み益の中央値,+4.18%,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: 吐き出し幅の中央値,6.92pt,最大含み益 − 最終リターン
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: 保有日数の中央値,6 日,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: +5%以上まで上昇後に損失,5/32 (16%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE2 warning_low 下抜けで利確: +10%以上から利益の過半を失った,1/32 (3%),「大半＝過半」を数式にしただけの集計定義。売買閾値ではない
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: 仮想EXIT件数,31/32 (97%),残りは追跡終端で保有継続
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: 仮想リターン中央値,-4.51%,仮想ENTRY価格（翌日始値）基準。約定価格は保証されない
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: 最大含み益の中央値,+4.29%,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: 吐き出し幅の中央値,9.00pt,最大含み益 − 最終リターン
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: 保有日数の中央値,8 日,
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: +5%以上まで上昇後に損失,9/32 (28%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,利益保持,CASE3 トレーリング（warning_low では降りない）: +10%以上から利益の過半を失った,5/32 (16%),「大半＝過半」を数式にしただけの集計定義。売買閾値ではない
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE1 初期STOPのみ（前回と同じ）: INITIAL_STOP_EXIT,31/32 (97%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE1 初期STOPのみ（前回と同じ）: DATA_END_OPEN,1/32 (3%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE2 warning_low 下抜けで利確: WARNING_LOW_EXIT_CANDIDATE,14/32 (44%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE2 warning_low 下抜けで利確: INITIAL_STOP_EXIT,10/32 (31%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE2 warning_low 下抜けで利確: INITIAL_STOP_EXIT_AFTER_BREAKOUT,8/32 (25%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE3 トレーリング（warning_low では降りない）: INITIAL_STOP_EXIT_AFTER_BREAKOUT,18/32 (56%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE3 トレーリング（warning_low では降りない）: INITIAL_STOP_EXIT,10/32 (31%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE3 トレーリング（warning_low では降りない）: TRAIL_STOP_EXIT,3/32 (9%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,EXIT種別,CASE3 トレーリング（warning_low では降りない）: DATA_END_OPEN,1/32 (3%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,経路の分類,P0 上限を終値突破せずSTOP（TREND_HOLDへ到達せず）,10/32 (31%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,経路の分類,P1 突破したが警戒足が出る前にSTOP,8/32 (25%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,経路の分類,P2 警戒足 → warning_low 下抜け（再高値更新なし）,9/32 (28%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,経路の分類,P3 警戒足 → 再高値更新1回 → STOP引き上げ,4/32 (12%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,経路の分類,P4 再高値更新2回以上（複数回の押し安値形成）,1/32 (3%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,CASE2 の方が CASE3 より有利な撤退になった,13/32 (41%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,CASE1 で +5%以上まで上昇後に損失,12/32 (38%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,warning_low を寄りでギャップ割れ（約定を仮定できない）,11/32 (34%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,warning_low を割ったのに WARNING に留まり続けた（解釈(b)）,8/32 (25%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,上限突破したが UPTREND_CONFIRMED が来ないまま終わった（B/C）,8/32 (25%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,警戒足が UPTREND_CONFIRMED の翌営業日に出た（B/C）,6/32 (19%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,active_stop を1回以上引き上げた,4/32 (12%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,CASE3 の方が CASE1 より有利な撤退になった,3/32 (9%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,同日に warning_low 下抜けと再高値更新（順序不明）,2/32 (6%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,UPTREND_CONFIRMED の日そのものが陰線だった（§11）,1/32 (3%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,フラグ,active_stop を2回以上引き上げた,1/32 (3%),
C,VARIANT C 終値上昇確認後（close > breakout_day_close）,解釈の感度,上限突破日・再高値更新日そのものが陰線だった回数,4,解釈(a)で同日採用にしていたら、この回数だけ警戒足が増えていた
